Date,Fajr Adhan,Fajr Prayer Time,Sunrise,Zuhr Adhan,Zuhr Prayer Time,Asr Adhan,Asr Prayer Time,Maghrib Adhan,Maghrib Prayer Time,Isha Adhan,Isha Prayer Time,First Khuthbah Time,First Friday Prayer Time,Second Khuthbah Time,Second Friday Prayer Time
11-Mar-24,6:32,6:47,7:37,1:33,2:00,5:48,6:15,7:30,7:40,8:35,9:00,,,,
12-Mar-24,6:30,6:45,7:36,1:33,2:00,5:49,6:15,7:31,7:41,8:35,9:00,,,,
13-Mar-24,6:29,6:44,7:34,1:32,2:00,5:49,6:15,7:32,7:42,8:36,9:00,,,,
14-Mar-24,6:28,6:43,7:33,1:32,2:00,5:50,6:15,7:32,7:42,8:36,9:00,,,,
15-Mar-24,6:27,6:42,7:32,1:32,2:00,5:50,6:15,7:33,7:43,8:37,9:00,,,,
16-Mar-24,6:26,6:41,7:31,1:31,2:00,5:50,6:15,7:33,7:43,8:38,9:00,,,,
17-Mar-24,6:24,6:39,7:30,1:31,2:00,5:51,6:15,7:34,7:44,8:38,9:00,,,,
18-Mar-24,6:23,6:38,7:29,1:31,2:00,5:51,6:15,7:35,7:45,8:39,9:00,,,,
19-Mar-24,6:22,6:37,7:27,1:31,2:00,5:52,6:15,7:35,7:45,8:40,9:00,,,,
20-Mar-24,6:21,6:36,7:26,1:30,2:00,5:52,6:15,7:36,7:46,8:40,9:00,,,,
21-Mar-24,6:19,6:34,7:25,1:30,2:00,5:52,6:15,7:36,7:46,8:41,9:00,,,,
22-Mar-24,6:18,6:33,7:24,1:30,2:00,5:53,6:15,7:37,7:47,8:42,9:00,,,,
23-Mar-24,6:17,6:32,7:23,1:29,2:00,5:53,6:15,7:38,7:48,8:42,9:00,,,,
24-Mar-24,6:16,6:31,7:21,1:29,2:00,5:53,6:15,7:38,7:48,8:43,9:00,,,,
25-Mar-24,6:14,6:29,7:20,1:29,2:00,5:54,6:15,7:39,7:49,8:44,9:15,,,,
26-Mar-24,6:13,6:28,7:19,1:28,2:00,5:54,6:15,7:39,7:49,8:44,9:15,,,,
27-Mar-24,6:12,6:27,7:18,1:28,2:00,5:54,6:15,7:40,7:50,8:45,9:15,,,,
28-Mar-24,6:11,6:26,7:17,1:28,2:00,5:55,6:15,7:41,7:51,8:46,9:15,,,,
29-Mar-24,6:09,6:24,7:15,1:28,2:00,5:55,6:15,7:41,7:51,8:46,9:15,,,,
30-Mar-24,6:08,6:23,7:14,1:27,2:00,5:55,6:15,7:42,7:52,8:47,9:15,,,,
31-Mar-24,6:07,6:22,7:13,1:27,2:00,5:56,6:15,7:42,7:52,8:48,9:15,,,,
01-Apr-24,6:05,6:20,7:12,1:27,2:00,5:56,6:15,7:42,7:52,8:48,9:15,,,,
02-Apr-24,6:04,6:19,7:11,1:26,2:00,5:56,6:15,7:43,7:53,8:49,9:15,,,,
03-Apr-24,6:03,6:18,7:09,1:26,2:00,5:57,6:15,7:43,7:53,8:50,9:15,,,,
04-Apr-24,6:02,6:17,7:08,1:26,2:00,5:57,6:15,7:44,7:54,8:50,9:15,,,,
05-Apr-24,6:00,6:15,7:07,1:25,2:00,5:57,6:15,7:44,7:54,8:51,9:15,,,,
06-Apr-24,5:59,6:14,7:06,1:25,2:00,5:57,6:15,7:45,7:55,8:52,9:15,,,,
07-Apr-24,5:58,6:13,7:05,1:25,2:00,5:58,6:15,7:46,7:56,8:53,9:15,,,,
08-Apr-24,5:57,6:12,7:04,1:25,2:00,5:58,6:15,7:46,7:56,8:53,9:15,,,,
09-Apr-24,5:55,6:10,7:02,1:24,2:00,5:58,6:15,7:47,7:57,8:54,9:15,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
